event,gender,ageGroup,minutes,seconds,decimals
800 MTS FREE,Femenino,70-74,11,04,4
1500 MTS FREE,Femenino,70-74,20,57,1
50 MTS BACK,Femenino,70-74,00,33,6
100 MTS BACK,Femenino,70-74,01,13,1
200 MTS BACK,Femenino,70-74,02,43,8
50 MTS BRST,Femenino,70-74,00,42,1
100 MTS BRST,Femenino,70-74,01,33,9
200 MTS BRST,Femenino,70-74,03,24,6
50  MTS FLY,Femenino,70-74,00,33,92
100 MTS FLY,Femenino,70-74,01,15,5
200 MTS FLY,Femenino,70-74,02,57,3
100 MTS IM,Femenino,70-74,01,18,4
200 MTS IM,Femenino,70-74,02,52,2
400 MTS IM,Femenino,70-74,06,07,1
50 MTS FREE,Femenino,75-79,00,34,04
100 MTS FREE,Femenino,75-79,01,15,9
200 MTS FREE,Femenino,75-79,02,51,5
400 MTS FREE,Femenino,75-79,06,08,7
800 MTS FREE,Femenino,75-79,12,25,6
1500 MTS FREE,Femenino,75-79,24,04,7
50 MTS BACK,Femenino,75-79,00,39,01
100 MTS BACK,Femenino,75-79,00,0,001
200 MTS BACK,Femenino,75-79,03,10,5
50 MTS BRST,Femenino,75-79,00,43,79
100 MTS BRST,Femenino,75-79,01,36,5
200 MTS BRST,Femenino,75-79,03,33,0
50  MTS FLY,Femenino,75-79,00,38,17
100 MTS FLY,Femenino,75-79,01,30,0
200 MTS FLY,Femenino,75-79,03,34,5
100 MTS IM,Femenino,75-79,01,28,0
200 MTS IM,Femenino,75-79,03,15,2
400 MTS IM,Femenino,75-79,07,11,3
50 MTS FREE,Masculino,25-29,00,21,28
100 MTS FREE,Masculino,25-29,00,47,43
200 MTS FREE,Masculino,25-29,01,44,9
400 MTS FREE,Masculino,25-29,03,49,9
800 MTS FREE,Masculino,25-29,07,55,8
1500 MTS FREE,Masculino,25-29,15,05,1
50 MTS BACK,Masculino,25-29,00,23,7
100 MTS BACK,Masculino,25-29,00,52,05
200 MTS BACK,Masculino,25-29,01,56,0
50 MTS BRST,Masculino,25-29,00,26,58
100 MTS BRST,Masculino,25-29,00,58,13
200 MTS BRST,Masculino,25-29,02,07,6
