event,gender,ageGroup,minutes,seconds,decimals
200 MTS BACK,Femenino,75-79,03,16,80
50 MTS BRST,Femenino,75-79,00,43,95
100 MTS BRST,Femenino,75-79,01,38,81
200 MTS BRST,Femenino,75-79,03,40,84
50 MTS FLY,Femenino,75-79,00,38,93
100 MTS FLY,Femenino,75-79,01,34,88
200 MTS FLY,Femenino,75-79,03,44,93
200 MTS IM,Femenino,75-79,03,21,84
400 MTS IM,Femenino,75-79,07,35,32
50 MTS FREE,Masculino,25-29,00,22,3
100 MTS FREE,Masculino,25-29,00,48,72
200 MTS FREE,Masculino,25-29,01,50,76
400 MTS FREE,Masculino,25-29,04,00,96
800 MTS FREE,Masculino,25-29,08,24,46
1500 MTS FREE,Masculino,25-29,15,49,00
50 MTS BACK,Masculino,25-29,00,25,44
100 MTS BACK,Masculino,25-29,00,55,09
200 MTS BACK,Masculino,25-29,02,02,76
50 MTS BRST,Masculino,25-29,00,27,21
100 MTS BRST,Masculino,25-29,01,00,39
200 MTS BRST,Masculino,25-29,02,11,78
50 MTS FLY,Masculino,25-29,00,23,71
100 MTS FLY,Masculino,25-29,00,53,09
200 MTS FLY,Masculino,25-29,02,00,74
200 MTS IM,Masculino,25-29,02,03,62
400 MTS IM,Masculino,25-29,04,30,05
50 MTS FREE,Masculino,30-34,00,22,13
100 MTS FREE,Masculino,30-34,00,49,8
200 MTS FREE,Masculino,30-34,01,49,56
400 MTS FREE,Masculino,30-34,03,58,12
800 MTS FREE,Masculino,30-34,08,08,53
1500 MTS FREE,Masculino,30-34,15,25,80
50 MTS BACK,Masculino,30-34,00,25,53
100 MTS BACK,Masculino,30-34,00,55,93
200 MTS BACK,Masculino,30-34,02,02,75
50 MTS BRST,Masculino,30-34,00,27,67
100 MTS BRST,Masculino,30-34,01,00,83
200 MTS BRST,Masculino,30-34,02,16,79
50 MTS FLY,Masculino,30-34,00,23,16
100 MTS FLY,Masculino,30-34,00,53,1
200 MTS FLY,Masculino,30-34,02,03,43
200 MTS IM,Masculino,30-34,02,02,18
400 MTS IM,Masculino,30-34,04,20,81
50 MTS FREE,Masculino,35-39,00,22,72
100 MTS FREE,Masculino,35-39,00,50,78
200 MTS FREE,Masculino,35-39,01,51,84
400 MTS FREE,Masculino,35-39,04,00,78
800 MTS FREE,Masculino,35-39,08,17,65
1500 MTS FREE,Masculino,35-39,16,00,00
50 MTS BACK,Masculino,35-39,00,25,76
100 MTS BACK,Masculino,35-39,00,56,59
200 MTS BACK,Masculino,35-39,02,01,32
50 MTS BRST,Masculino,35-39,00,27,83
100 MTS BRST,Masculino,35-39,01,01,99
200 MTS BRST,Masculino,35-39,02,20,11
50 MTS FLY,Masculino,35-39,00,24,03
100 MTS FLY,Masculino,35-39,00,53,65
200 MTS FLY,Masculino,35-39,02,02,54
200 MTS IM,Masculino,35-39,02,05,65
400 MTS IM,Masculino,35-39,04,36,66
50 MTS FREE,Masculino,40-44,00,23,14
100 MTS FREE,Masculino,40-44,00,50,73
200 MTS FREE,Masculino,40-44,01,53,65
400 MTS FREE,Masculino,40-44,04,06,74
800 MTS FREE,Masculino,40-44,08,35,85
1500 MTS FREE,Masculino,40-44,16,24,80
50 MTS BACK,Masculino,40-44,00,27,1
100 MTS BACK,Masculino,40-44,00,58,38
200 MTS BACK,Masculino,40-44,02,08,06
50 MTS BRST,Masculino,40-44,00,28,84
100 MTS BRST,Masculino,40-44,01,03,60
200 MTS BRST,Masculino,40-44,02,18,57
50 MTS FLY,Masculino,40-44,00,23,72
100 MTS FLY,Masculino,40-44,00,55,29
200 MTS FLY,Masculino,40-44,02,05,55
200 MTS IM,Masculino,40-44,02,08,63
400 MTS IM,Masculino,40-44,04,42,54
